ATC,Year,Services,Percentage
A,1992,11419858,0.106663079
A,1993,13128772,0.111854634
A,1994,14257251,0.118165072
A,1995,15556322,0.122347456
A,1996,16742049,0.125133707
A,1997,17260706,0.128736845
A,1998,17424160,0.129174277
A,1999,18666566,0.129419103
A,2000,19643747,0.12696098
A,2001,19881325,0.121451122
A,2002,22025091,0.127728827
A,2003,23013295,0.130870402
A,2004,24724280,0.133467977
A,2005,25478509,0.138987558
A,2006,25366959,0.139555124
A,2007,26487117,0.143988481
A,2008,26803855,0.144769187
A,2009,28833462,0.145409394
A,2010,28765000,0.144508146
A,2011,27738858,0.140118679
A,2012,30642008,0.140082298
A,2013,27014935,0.14228395
A,2014,34293264,0.14573985
A,2015,35893484,0.148522027
A,2016,31610543,0.150353352
A,2017,31833358,0.153593207
A,2018,32239456,0.155529539
A,2019,33050724,0.157193247
A,2020,34831513,0.160049542
A,2021,35345632,0.164031207
A,2022,37360254,0.166626217
A,2023,38948000,0.169302847
A,2024,39997669,0.175021026
B,1992,2141876,0.020005423
B,1993,2413980,0.020566649
B,1994,2473281,0.020498722
B,1995,2599865,0.020447434
B,1996,2787401,0.02083364
B,1997,2897702,0.021612153
B,1998,3098447,0.022970384
B,1999,3630086,0.025168125
B,2000,4430507,0.028635143
B,2001,4815331,0.029415914
B,2002,5593078,0.032435611
B,2003,6275243,0.035685615
B,2004,7055080,0.038085124
B,2005,7240860,0.039499542
B,2006,7439141,0.040926082
B,2007,7919335,0.043050854
B,2008,8110948,0.043807704
B,2009,8758835,0.044171487
B,2010,8824186,0.044330498
B,2011,8660622,0.043747833
B,2012,9474279,0.043312396
B,2013,8239041,0.043393897
B,2014,10376997,0.044100264
B,2015,11088444,0.045882372
B,2016,9290082,0.04418763
B,2017,9487202,0.045774932
B,2018,9919521,0.047853739
B,2019,10360402,0.049275327
B,2020,10943062,0.050282974
B,2021,11029148,0.05118382
B,2022,11545583,0.051493141
B,2023,12045481,0.052360435
B,2024,11855697,0.051877929
C,1992,23644616,0.220844037
C,1993,26230942,0.223482624
C,1994,27540645,0.228258751
C,1995,30207193,0.237573715
C,1996,33164269,0.247876943
C,1997,35256940,0.262959535
C,1998,36954353,0.273961662
C,1999,41087633,0.284868925
C,2000,45572129,0.294540657
C,2001,48910319,0.298783564
C,2002,52312951,0.303375448
C,2003,54738566,0.311283463
C,2004,58902513,0.317970807
C,2005,59381201,0.323929791
C,2006,60056896,0.33040017
C,2007,61527676,0.334474931
C,2008,62482971,0.337474177
C,2009,67192090,0.338854942
C,2010,67627468,0.33974344
C,2011,67206523,0.339483667
C,2012,73469211,0.335870153
C,2013,62296042,0.328104692
C,2014,74477209,0.316513974
C,2015,73908916,0.305824367
C,2016,65634604,0.312186435
C,2017,64709320,0.312216889
C,2018,64663951,0.311951742
C,2019,65368700,0.310901456
C,2020,68402834,0.314308547
C,2021,68472108,0.317763805
C,2022,71078533,0.317009275
C,2023,71733709,0.311818864
C,2024,67015771,0.293246314
D,1992,4061382,0.037933879
D,1993,4370358,0.037234617
D,1994,4417842,0.036615377
D,1995,4435485,0.034884229
D,1996,4317844,0.032272503
D,1997,3552482,0.026495749
D,1998,3100159,0.022983076
D,1999,3315002,0.022983584
D,2000,3412194,0.022053608
D,2001,3382166,0.02066099
D,2002,3306773,0.019176776
D,2003,3170804,0.018031507
D,2004,3220736,0.017386355
D,2005,3088369,0.016847331
D,2006,3045667,0.016755593
D,2007,2957966,0.016080007
D,2008,2844035,0.015360799
D,2009,2997941,0.01511885
D,2010,2966343,0.014902163
D,2011,2947350,0.014888096
D,2012,3305998,0.015113624
D,2013,2757252,0.014522067
D,2014,3492122,0.014840854
