ITEM_CODE,DRUG_NAME,FORM/STRENGTH,ATC5_Code,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07
01001Q,FLUPHENAZINE DECANOATE,Injection 50 mg in 2 mL ampoule,N05AB02,35.58,35.58,35.58,35.58,35.58,35.58,35.58,35.58,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.63,35.82,35.82,35.82,35.82,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.2,35.32,35.32,35.32,35.32,35.32,35.32,35.32,35.32,35.32,35.32,35.32,35.69,37.22,37.22,37.22,37.22,37.22,37.22,37.22,37.22,37.22,37.22,37.22,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.65,37.75
01002R,ACICLOVIR,"Eye ointment 30 mg per g, 4.5 g",S01AD03,22.96,22.96,22.96,22.96,22.96,22.96,22.96,22.96,23.01,23.01,23.01,23.01,23.01,23.01,23.01,23.01,23.20,23.20,23.20,23.20,22.82,22.82,22.82,22.82,22.82,22.82,22.82,22.82,32.54,32.54,32.54,32.71,32.83,32.83,32.83,32.83,32.83,32.83,32.83,32.83,32.83,32.83,32.83,33.2,27.47,27.47,27.47,27.47,34.63,34.63,34.63,34.63,34.63,34.63,34.63,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.06,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.63,33.73
01003T,ACICLOVIR,Tablet 200 mg,J05AB01,104.08,104.08,104.08,104.08,104.08,104.08,104.08,104.08,104.13,104.13,104.13,104.13,104.13,104.13,104.13,104.13,104.32,104.32,104.32,104.32,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.48,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.97,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.11,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,69.54,66.38,66.38,66.38,66.38,66.38,66.38,66.4,66.38,66.38,66.38,66.38,66.38,66.38,66.4,66.4,66.4,66.38,66.48
01004W,ACETAZOLAMIDE,Tablet 250 mg,S01EC01,21.86,21.86,21.86,21.86,21.86,21.86,21.86,21.86,21.91,21.91,21.91,21.91,21.91,21.91,21.91,21.91,22.10,22.10,22.10,22.10,21.76,21.76,21.76,21.76,21.76,21.76,21.76,21.76,21.76,21.76,21.76,21.93,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.42,23.36,23.36,23.36,23.36,23.36,23.36,23.36,23.36,23.36,23.36,23.36,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.79,23.89
01005X,ACETAZOLAMIDE,"Injection equivalent to 500 mg acetazolamide, vial (with required solvent)",S01EC01,22.30,22.30,22.30,22.30,24.81,24.81,24.81,24.81,24.86,24.86,24.86,24.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007B,ACICLOVIR,Tablet 200 mg,J05AB01,186.54,186.54,186.54,186.54,186.54,186.54,186.54,186.54,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.78,186.78,186.78,186.78,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.12,159.29,159.41,159.41,159.41,159.41,159.41,159.41,159.41,159.41,159.41,159.41,159.41,159.78,121.47,121.47,121.47,121.47,121.47,121.47,121.47,121.47,121.47,121.47,121.47,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,121.9,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.12,116.22
01010E,ASPIRIN,"Tablet, dispersible, 300 mg",B01AC06,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,7.17,7.17,7.17,7.17,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.49,7.61,7.61,7.61,7.61,7.61,7.61,7.61,7.61,7.61,7.61,7.61,7.98,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.64,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.55,8.55,8.55,8.55,8.55,8.55,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.6
01011F,DOXEPIN,Capsule 10 mg (as hydrochloride),N06AA12,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,7.18,7.18,7.18,7.18,7.33,7.33,7.33,7.33,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.76,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,8.25,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.54,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,9.07
01012G,DOXEPIN,Tablet 50 mg (as hydrochloride),N06AA12,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.20,8.20,8.20,8.20,8.30,8.30,8.30,8.30,8.30,8.30,8.30,8.30,8.3,8.3,8.3,8.47,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.59,8.96,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.81
01013H,DOXEPIN,Capsule 25 mg (as hydrochloride),N06AA12,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.57,7.57,7.57,7.57,7.69,7.69,7.69,7.69,8.00,8.00,8.00,8.00,8.0,8.0,8.0,8.17,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.66,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.5
01016L,ADRENALINE (EPINEPHRINE),"Injection 1 mg (as acid tartrate) in 1 mL (1 in 1,000)",C01CA24,14.71,14.71,14.71,14.71,14.71,14.71,14.71,14.71,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.95,14.95,14.95,14.95,18.03,18.03,18.03,18.03,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.63,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,19.12,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.44
01017M,CLOTRIMAZOLE,"Cream 10 mg per g, 20 g",D01AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,,,,,,,,,,,
01024X,OLANZAPINE,Tablet 2.5 mg (as benzoate),N05AH03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.73,46.73,46.73,46.83
